word,target_sound,clip_type,total,unclear_count,unclear_rate,priority,feedback
sister,s,word,5,3,0.6,high-priority,"Practice 'sister' slowly and repeat it in short sets. Focus on keeping the /s/ sound steady and controlled. Because this item had a high unclear rate, it may be useful to practice it before moving to faster speech. This is non-clinical practice feedback, not a diagnosis."
three,th,word,5,3,0.6,high-priority,"Practice 'three' slowly and repeat it in short sets. Focus on keeping the /th/ sound steady and controlled. Because this item had a high unclear rate, it may be useful to practice it before moving to faster speech. This is non-clinical practice feedback, not a diagnosis."
red,r,word,5,2,0.4,medium-priority,"'red' showed occasional unclear pronunciation. Practice it at a normal pace, then slowly increase speed while keeping the /r/ sound consistent. This is non-clinical practice feedback, not a diagnosis."
teeth,th,word,5,2,0.4,medium-priority,"'teeth' showed occasional unclear pronunciation. Practice it at a normal pace, then slowly increase speed while keeping the /th/ sound consistent. This is non-clinical practice feedback, not a diagnosis."
zero,z,word,5,2,0.4,medium-priority,"'zero' showed occasional unclear pronunciation. Practice it at a normal pace, then slowly increase speed while keeping the /z/ sound consistent. This is non-clinical practice feedback, not a diagnosis."
please pass the cheese,z,sentence,3,1,0.3333333333333333,medium-priority,"'please pass the cheese' showed occasional unclear pronunciation. Practice it at a normal pace, then slowly increase speed while keeping the /z/ sound consistent. Since this is a sentence, try breaking it into smaller parts before saying the full phrase. This is non-clinical practice feedback, not a diagnosis."
seven students solved the puzzle,mixed,sentence,3,1,0.3333333333333333,medium-priority,"'seven students solved the puzzle' showed occasional unclear pronunciation. Practice it at a normal pace, then slowly increase speed while keeping the /s/ and /z/ sounds consistent. Since this is a sentence, try breaking it into smaller parts before saying the full phrase. This is non-clinical practice feedback, not a diagnosis."
susan saw the zebra at the zoo,mixed,sentence,3,1,0.3333333333333333,medium-priority,"'susan saw the zebra at the zoo' showed occasional unclear pronunciation. Practice it at a normal pace, then slowly increase speed while keeping the /s/ and /z/ sounds consistent. Since this is a sentence, try breaking it into smaller parts before saying the full phrase. This is non-clinical practice feedback, not a diagnosis."
cheese,z,word,5,1,0.2,low-priority,"'cheese' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. This is non-clinical practice feedback, not a diagnosis."
lazy,z,word,5,1,0.2,low-priority,"'lazy' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. This is non-clinical practice feedback, not a diagnosis."
mirror,r,word,5,1,0.2,low-priority,"'mirror' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. This is non-clinical practice feedback, not a diagnosis."
music,z,word,5,1,0.2,low-priority,"'music' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. This is non-clinical practice feedback, not a diagnosis."
seven,s,word,5,1,0.2,low-priority,"'seven' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. This is non-clinical practice feedback, not a diagnosis."
zipper,z,word,5,1,0.2,low-priority,"'zipper' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. This is non-clinical practice feedback, not a diagnosis."
zoo,z,word,5,1,0.2,low-priority,"'zoo' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. This is non-clinical practice feedback, not a diagnosis."
around,r,word,5,0,0.0,low-priority,"'around' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. This is non-clinical practice feedback, not a diagnosis."
basket,s,word,5,0,0.0,low-priority,"'basket' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. This is non-clinical practice feedback, not a diagnosis."
birthday,th,word,5,0,0.0,low-priority,"'birthday' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. This is non-clinical practice feedback, not a diagnosis."
bus,s,word,5,0,0.0,low-priority,"'bus' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. This is non-clinical practice feedback, not a diagnosis."
car,r,word,5,0,0.0,low-priority,"'car' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. This is non-clinical practice feedback, not a diagnosis."
carrot,r,word,5,0,0.0,low-priority,"'carrot' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. This is non-clinical practice feedback, not a diagnosis."
class,s,word,5,0,0.0,low-priority,"'class' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. This is non-clinical practice feedback, not a diagnosis."
far,r,word,5,0,0.0,low-priority,"'far' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. This is non-clinical practice feedback, not a diagnosis."
healthy,th,word,5,0,0.0,low-priority,"'healthy' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. This is non-clinical practice feedback, not a diagnosis."
lazy lizards love music,z,sentence,3,0,0.0,low-priority,"'lazy lizards love music' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. Since this is a sentence, try breaking it into smaller parts before saying the full phrase. This is non-clinical practice feedback, not a diagnosis."
pencil,s,word,5,0,0.0,low-priority,"'pencil' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. This is non-clinical practice feedback, not a diagnosis."
puzzle,z,word,5,0,0.0,low-priority,"'puzzle' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. This is non-clinical practice feedback, not a diagnosis."
race,r,word,5,0,0.0,low-priority,"'race' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. This is non-clinical practice feedback, not a diagnosis."
racing,s,word,5,0,0.0,low-priority,"'racing' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. This is non-clinical practice feedback, not a diagnosis."
river,r,word,5,0,0.0,low-priority,"'river' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. This is non-clinical practice feedback, not a diagnosis."
science,s,word,5,0,0.0,low-priority,"'science' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. This is non-clinical practice feedback, not a diagnosis."
science sometimes sounds stressful,s,sentence,3,0,0.0,low-priority,"'science sometimes sounds stressful' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. Since this is a sentence, try breaking it into smaller parts before saying the full phrase. This is non-clinical practice feedback, not a diagnosis."
seven sisters sat silently,s,sentence,3,0,0.0,low-priority,"'seven sisters sat silently' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. Since this is a sentence, try breaking it into smaller parts before saying the full phrase. This is non-clinical practice feedback, not a diagnosis."
six roses were beside the cheese,mixed,sentence,3,0,0.0,low-priority,"'six roses were beside the cheese' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. Since this is a sentence, try breaking it into smaller parts before saying the full phrase. This is non-clinical practice feedback, not a diagnosis."
six students studied science,s,sentence,3,0,0.0,low-priority,"'six students studied science' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. Since this is a sentence, try breaking it into smaller parts before saying the full phrase. This is non-clinical practice feedback, not a diagnosis."
story,r,word,5,0,0.0,low-priority,"'story' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. This is non-clinical practice feedback, not a diagnosis."
the music sounded soft and fuzzy,mixed,sentence,3,0,0.0,low-priority,"'the music sounded soft and fuzzy' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. Since this is a sentence, try breaking it into smaller parts before saying the full phrase. This is non-clinical practice feedback, not a diagnosis."
the puzzle was amazing,z,sentence,3,0,0.0,low-priority,"'the puzzle was amazing' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. Since this is a sentence, try breaking it into smaller parts before saying the full phrase. This is non-clinical practice feedback, not a diagnosis."
the sun set slowly,s,sentence,3,0,0.0,low-priority,"'the sun set slowly' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. Since this is a sentence, try breaking it into smaller parts before saying the full phrase. This is non-clinical practice feedback, not a diagnosis."
thin,th,word,5,0,0.0,low-priority,"'thin' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. This is non-clinical practice feedback, not a diagnosis."
think,th,word,5,0,0.0,low-priority,"'think' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. This is non-clinical practice feedback, not a diagnosis."
zebra,z,word,5,0,0.0,low-priority,"'zebra' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. This is non-clinical practice feedback, not a diagnosis."
zebra zoomed through the zoo,z,sentence,3,0,0.0,low-priority,"'zebra zoomed through the zoo' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. Since this is a sentence, try breaking it into smaller parts before saying the full phrase. This is non-clinical practice feedback, not a diagnosis."
zone,z,word,5,0,0.0,low-priority,"'zone' was mostly clear. Continue practicing it for consistency, but prioritize harder words or sentences first. This is non-clinical practice feedback, not a diagnosis."
