source,split,original_index,audio_path,speaker_id,gender,age,sentence,word,target_sound,phone,phone_score,label
speechocean762,test,387,004610177.wav,speechocean_0461,m,23,IT'S GOING TO BE A BUSY WEEK,busy,z,Z,0.8,unclear
speechocean762,train,1184,022820062.wav,speechocean_2282,f,21,HE PROBABLY IS THE MOST TALENTED IN THE SECONDARY,is,z,Z,2.0,clear
speechocean762,train,2230,096140012.wav,speechocean_9614,f,28,I ASKED AS SHE CLOSED THE DOOR.,as,z,Z,2.0,clear
speechocean762,test,1579,030140173.wav,speechocean_3014,m,9,YES WHO WAS IT,was,z,Z,2.0,clear
speechocean762,test,1538,030070152.wav,speechocean_3007,m,10,SOME OF THEM HAD TO WAIT THERE FOR YEARS,there,r,R,2.0,clear
speechocean762,train,1139,022420362.wav,speechocean_2242,m,20,THEY BOTH LAUGHED AND FOR A LONG TIME,both,th,TH,2.0,clear
speechocean762,train,2437,096430019.wav,speechocean_9643,f,25,THIS FLOOR LOOKED REALLY RUN DOWN.,really,r,R,0.4,unclear
speechocean762,train,2257,096150026.wav,speechocean_9615,f,21,I ACTUALLY OPENED MY EYES AND SAW WHERE I WAS.,where,r,R,0.4,unclear
speechocean762,test,2220,096080003.wav,speechocean_9608,f,30,YOU MUST NOT THINK OF THE PAST NOW.,think,th,TH,0.8,unclear
speechocean762,train,982,020890112.wav,speechocean_2089,f,20,BUT THOSE ARE NOT MY DECISIONS,those,z,Z,1.8,clear
speechocean762,test,2272,096120013.wav,speechocean_9612,f,20,"I AM A PLAIN MAN, AND SAY WHAT I THINK.",think,th,TH,2.0,clear
speechocean762,test,259,001200350.wav,speechocean_0120,f,19,HE LOOKED AT HIM LONG AND CURIOUSLY,curiously,s,S,2.0,clear
speechocean762,test,638,010610165.wav,speechocean_1061,f,7,AND THIS IS HAIR BOOK,hair,r,R,2.0,clear
speechocean762,train,2009,085850092.wav,speechocean_8585,m,15,THE THIRD BLOW WAS THE ONE THAT KILLED IT,third,th,TH,2.0,clear
speechocean762,train,1556,032080132.wav,speechocean_3208,f,9,SHE HAS THAT FROM ME,has,z,Z,2.0,clear
speechocean762,train,916,020340156.wav,speechocean_2034,m,8,ONE TWO THREE AND THERE YOU ARE,three,th,TH,1.8,clear
speechocean762,train,422,008130091.wav,speechocean_0813,f,20,THREE OF THE VICTIMS WERE LISTED IN SERIOUS CONDITION,three,th,TH,2.0,clear
speechocean762,train,70,000260075.wav,speechocean_0026,f,6,HE LIKES RACING,racing,r,R,2.0,clear
speechocean762,test,1276,023270319.wav,speechocean_2327,f,22,I WANT YOUR GOOD NOTHING SO MUCH AS THAT,as,z,Z,2.0,clear
speechocean762,train,2167,096090011.wav,speechocean_9609,m,27,I COULD JUST BARELY SEE IT FROM HERE.,just,s,S,0.0,unclear
speechocean762,test,2322,096220003.wav,speechocean_9622,f,20,SHE THOUGHT FOR A MOMENT.,thought,th,TH,2.0,clear
speechocean762,test,1382,024880070.wav,speechocean_2488,f,21,HE WAS AT THE HEIGHT OF HIS POWER,was,z,Z,1.8,clear
speechocean762,test,2411,096310012.wav,speechocean_9631,m,26,I THOUGHT MY LIFE WAS ABOUT TO END.,thought,th,TH,0.0,unclear
speechocean762,train,1461,030490013.wav,speechocean_3049,m,9,ITS WAS REALLY TOO MUCH,was,z,Z,2.0,clear
speechocean762,test,859,012930315.wav,speechocean_1293,m,32,I OWN I WAS WEAK,was,z,Z,1.8,clear
speechocean762,test,913,014080333.wav,speechocean_1408,m,22,NO YOU NEED TO RETURN TO THE TRUCK,truck,r,R,2.0,clear
speechocean762,train,2211,096130012.wav,speechocean_9613,f,33,THEN SHE SAW THE WAY OUT.,saw,s,S,0.4,unclear
speechocean762,train,2117,096040023.wav,speechocean_9604,f,21,"I AM RICH, AND SO WAS MY FATHER BEFORE ME.",so,s,S,0.4,unclear
speechocean762,test,875,013340297.wav,speechocean_1334,m,29,BECAUSE OF COURSE THIS IS A THING,course,s,S,0.8,unclear
speechocean762,train,2432,096430014.wav,speechocean_9643,f,25,"A COOL ONE, THIS GENERAL.",general,r,R,0.0,unclear
speechocean762,train,1203,023800093.wav,speechocean_2380,f,21,THAT'S A GOOD WAY TO APPROACH IT I THINK,think,th,TH,2.0,clear
speechocean762,train,2193,096110016.wav,speechocean_9611,f,30,IT WAS THE JAPANESE MAN FROM THE OTHER NIGHT.,from,r,R,0.8,unclear
speechocean762,train,964,020610122.wav,speechocean_2061,f,20,THIS IS A NATURAL PART OF LIFE,is,z,Z,1.8,clear
speechocean762,test,760,011810063.wav,speechocean_1181,m,23,SHE COULD JUST GO ON AND ON,just,s,S,2.0,clear
speechocean762,test,68,000490092.wav,speechocean_0049,f,7,HERE IS JOHN'S BOOTS,is,z,Z,2.0,clear
speechocean762,train,2412,096390013.wav,speechocean_9639,m,22,"HE LOOKED TO HIS LEFT, THEN TO HIS RIGHT.",right,r,R,0.0,unclear
speechocean762,train,2427,096430009.wav,speechocean_9643,f,25,TO RESTORE YOUR LOST ENERGY.,restore,r,R,0.8,unclear
speechocean762,test,943,014220027.wav,speechocean_1422,m,7,LAYLA IS FROM AUSTRALIA,from,r,R,2.0,clear
speechocean762,test,481,008110049.wav,speechocean_0811,f,20,WE FEEL THE PUBLIC IS BEING USED,is,z,Z,1.8,clear
speechocean762,test,861,013340034.wav,speechocean_1334,m,29,SOMETHING IS OFF WITH THIS TEAM,something,th,TH,2.0,clear
speechocean762,train,2292,096190013.wav,speechocean_9619,m,24,BUT WE WERE STILL THE BEST OF FRIENDS.,friends,z,Z,0.4,unclear
speechocean762,train,1850,061210095.wav,speechocean_6121,f,11,THAT MADE ALL THE DIFFERENCE,difference,s,S,2.0,clear
speechocean762,train,1149,022440180.wav,speechocean_2244,f,20,NOTHING BETTER THAN A DAY AT THE BEACH,nothing,th,TH,2.0,clear
speechocean762,train,1070,021790083.wav,speechocean_2179,f,9,ELSA WAS WALKING TO SCHOOL,school,s,S,2.0,clear
speechocean762,test,427,005670155.wav,speechocean_0567,f,21,HER IS NOT IN THE MILITARY,military,r,R,0.8,unclear
speechocean762,train,801,014190025.wav,speechocean_1419,m,7,LUCY IS A FRIEND FROM CANADA,from,r,R,2.0,clear
speechocean762,test,2089,091010100.wav,speechocean_9101,f,15,HE ASKED ME IF I WOULD WAIT FOR HIS RETURN,his,z,Z,2.0,clear
speechocean762,test,1400,025380004.wav,speechocean_2538,f,21,THERE WERE HATS BUTTONS AND RED WHITE AND BLUE BALLOONS,red,r,R,2.0,clear
speechocean762,test,233,001140120.wav,speechocean_0114,m,6,ALICE CAN SEE THE THEM PARK,see,s,S,2.0,clear
speechocean762,train,862,014470026.wav,speechocean_1447,m,7,MARY LOVES FRANCE,france,s,S,0.0,unclear
speechocean762,test,670,010760079.wav,speechocean_1076,m,7,LESS DRAW JAYME'S MOUTH,less,s,S,2.0,clear
speechocean762,test,1020,015020001.wav,speechocean_1502,m,7,JACK LIKES THE BLACK BALL,likes,s,S,2.0,clear
speechocean762,test,1927,060990039.wav,speechocean_6099,m,12,NO USE STANDING HER,standing,s,S,2.0,clear
speechocean762,test,349,003060226.wav,speechocean_0306,f,21,MAKE SURE YOU HAVE A GREAT ONE,great,r,R,2.0,clear
speechocean762,test,868,013340217.wav,speechocean_1334,m,29,THEY AIR ON THE SIDE OF UNDERSTANDING,air,r,R,2.0,clear
speechocean762,train,1335,027990309.wav,speechocean_2799,f,20,THE HOUSE WAS TOO BIG,was,z,Z,1.8,clear
speechocean762,test,1004,015010041.wav,speechocean_1501,m,7,EIGHT SEVEN THREE NINE,seven,s,S,2.0,clear
speechocean762,test,1555,030120155.wav,speechocean_3012,m,9,WHO IS IT THAT CALLS,is,z,Z,1.8,clear
speechocean762,test,885,014040072.wav,speechocean_1404,m,7,LET'S DRAW JACK'S HAND,let's,s,S,2.0,clear
speechocean762,train,927,020360131.wav,speechocean_2036,f,21,JUST WANT TO CONTINUE TO MIX THINGS UP A BIT,things,th,TH,2.0,clear
speechocean762,test,2488,096470012.wav,speechocean_9647,f,20,THEY WERE PROBABLY DATING OR SOMETHING.HE SHRUGGED.,probably,r,R,0.8,unclear
speechocean762,test,425,005670137.wav,speechocean_0567,f,21,WHAT'S WRONG WITH THE SITE,with,th,TH,1.8,clear
speechocean762,test,1178,020300171.wav,speechocean_2030,m,8,WHAT SEE I IN THE STREET,street,r,R,2.0,clear
speechocean762,train,1947,075510076.wav,speechocean_7551,f,13,IS THERE ANYTHING MORE BEFORE I GO OUT,there,r,R,2.0,clear
speechocean762,test,1182,020310075.wav,speechocean_2031,f,21,HERE IS A SUMMARY OF ITS MAJOR PROVISIONS,provisions,r,R,2.0,clear
speechocean762,test,2203,096010005.wav,speechocean_9601,m,25,"BUT HE CAN DO THINGS, BUT THIS?",things,th,TH,0.2,unclear
speechocean762,test,888,014040089.wav,speechocean_1404,m,7,HERE IS TIM'S CAP,is,z,Z,0.0,unclear
speechocean762,test,1343,024480095.wav,speechocean_2448,f,19,THURSDAY IS THE LAST DAY OF THIS YEAR'S DEBATE,thursday,th,TH,1.8,clear
speechocean762,train,582,010640028.wav,speechocean_1064,m,26,I WAS SICK AND TRIED OF HEARING ABOUT IT,was,z,Z,1.8,clear
speechocean762,test,355,003060285.wav,speechocean_0306,f,21,THIS IS ANOTHER WAY TO GO ABOUT IT,is,z,Z,2.0,clear
speechocean762,train,471,010120219.wav,speechocean_1012,m,29,DO YOU THINK IT WILL BE CONFIRMED,think,th,TH,2.0,clear
speechocean762,test,2206,096010008.wav,speechocean_9601,m,25,SO HE CALLED AND ASKED ONE MORE TIME.,asked,s,S,0.0,unclear
speechocean762,test,2254,096100015.wav,speechocean_9610,f,22,HE TURNED HIS HEAD AWAY FROM HER.,from,r,R,2.0,clear
speechocean762,test,2139,091180163.wav,speechocean_9118,f,15,HE CAN ALMOST STAND ON HIS LEGS,stand,s,S,2.0,clear
speechocean762,test,1867,054320061.wav,speechocean_5432,f,11,HE NOW HAD BOTH EYES WIDE OPEN,eyes,z,Z,1.8,clear
speechocean762,train,1413,030210123.wav,speechocean_3021,f,9,IS THIS WELL DONE,this,s,S,2.0,clear
speechocean762,test,1946,069020059.wav,speechocean_6902,m,12,THEY DID NOT SEE THEM ANY MORE,see,s,S,0.0,unclear
speechocean762,train,2225,096140007.wav,speechocean_9614,f,28,IT WAS SOME TIME BEFORE HE COULD SEE ANYTHING.,was,z,Z,2.0,clear
speechocean762,test,1928,060990059.wav,speechocean_6099,m,12,THESE THINGS AND MANY OTHERS INTERESTED HER,these,z,Z,2.0,clear
speechocean762,test,2456,096350024.wav,speechocean_9635,f,24,IT WAS NOT HER PLACE TO SAY ANYTHING.,say,s,S,2.0,clear
speechocean762,train,2098,096000021.wav,speechocean_9600,f,28,IT WAS NOT LIKE SHE HAD ANY POWER OVER ANYTHING.,was,z,Z,0.0,unclear
speechocean762,train,2278,096160019.wav,speechocean_9616,f,28,BUT EVEN THIS WAS AS NOTHING.,nothing,th,TH,0.0,unclear
speechocean762,test,1444,028920120.wav,speechocean_2892,m,24,HE'S BETTER THAN A TANK,he's,z,Z,1.8,clear
speechocean762,train,2279,096160020.wav,speechocean_9616,f,28,HE STARTED TO ASK IF I WAS ALL RIGHT.,right,r,R,0.8,unclear
speechocean762,test,1351,024480232.wav,speechocean_2448,f,19,SOMETIMES THE BEST THING YOU CAN DO IS NOTHING,is,z,Z,1.8,clear
speechocean762,train,477,010120334.wav,speechocean_1012,m,29,I HAD JUST COME IN FROM THE STREET,street,s,S,2.0,clear
speechocean762,train,79,000260166.wav,speechocean_0026,f,6,NOW FOR THE PARTY,party,r,R,2.0,clear
speechocean762,test,1465,028970057.wav,speechocean_2897,m,20,BOTH PLAYERS HOWEVER WERE AFFECTIES IN THE FOURTH QUARTER,players,z,Z,2.0,clear
speechocean762,train,2023,090340032.wav,speechocean_9034,f,15,NO CREATURE EVER WANTED SO MUCH TO LIVE,creature,r,R,2.0,clear
speechocean762,test,1138,020160347.wav,speechocean_2016,m,19,BUT SHE THOUGHT IT WAS GOING TO BE WORTH IT,was,z,Z,1.8,clear
speechocean762,test,897,014040148.wav,speechocean_1404,m,7,HE LIKES THE FAMOUS CITY SYDNEY,sydney,s,S,0.8,unclear
speechocean762,train,2098,096000021.wav,speechocean_9600,f,28,IT WAS NOT LIKE SHE HAD ANY POWER OVER ANYTHING.,anything,th,TH,1.8,clear
speechocean762,test,906,014080149.wav,speechocean_1408,m,22,THIS IS A GOD WORD,this,s,S,2.0,clear
speechocean762,test,2348,096230010.wav,speechocean_9623,m,21,AND I NEVER THOUGHT A THING.,thing,th,TH,0.0,unclear
speechocean762,test,2490,096470014.wav,speechocean_9647,f,20,"EXTREMELY LONG TIME, NO WRITE.",extremely,s,S,0.0,unclear
speechocean762,test,1570,030140095.wav,speechocean_3014,m,9,I WAS FIRST TO DRAW,was,z,Z,2.0,clear
speechocean762,train,2087,096000009.wav,speechocean_9600,f,28,WHAT WAS HE EVEN ABOUT TO SAY?,was,z,Z,0.0,unclear
speechocean762,test,2159,095530173.wav,speechocean_9553,f,15,I WANT THE TRUTH THE TRUTH,truth,r,R,2.0,clear
speechocean762,train,1431,030230253.wav,speechocean_3023,m,19,I WAS ALL THE WAY IN FRONT,was,z,Z,1.8,clear
speechocean762,test,1914,060670080.wav,speechocean_6067,f,12,BUT AS SUCH SHE WOULD NOT BE AFRAID OF HIM,such,s,S,2.0,clear
speechocean762,test,1997,080680170.wav,speechocean_8068,f,14,BECAUSE HIS SON WAS GOING TO BE KILLED,because,z,Z,1.8,clear
